time_s,cumulative_fuel_engine1_t,cumulative_fuel_engine2_t,cumulative_fuel_engine3_t
7276.26,1.07,0.975,0.364
7286.28,1.07,0.977,0.364
7296.31,1.07,0.978,0.365
7306.33,1.08,0.98,0.365
7316.35,1.08,0.982,0.366
7326.37,1.08,0.983,0.367
7336.4,1.08,0.985,0.367
7346.42,1.08,0.986,0.368
7356.44,1.08,0.988,0.368
7366.46,1.09,0.99,0.369
7376.49,1.09,0.991,0.37
7386.51,1.09,0.993,0.37
7396.53,1.09,0.995,0.371
7406.55,1.09,0.996,0.372
7416.58,1.09,0.998,0.372
7426.6,1.1,0.999,0.373
7436.62,1.1,1.0,0.373
7446.64,1.1,1.0,0.374
7456.67,1.1,1.0,0.375
7466.69,1.1,1.01,0.375
7476.71,1.1,1.01,0.376
7486.73,1.11,1.01,0.376
7496.76,1.11,1.01,0.377
7506.78,1.11,1.01,0.378
7516.8,1.11,1.01,0.378
7526.82,1.11,1.02,0.379
7536.84,1.11,1.02,0.379
7546.87,1.12,1.02,0.38
7556.89,1.12,1.02,0.381
7566.91,1.12,1.02,0.381
7576.93,1.12,1.02,0.382
7586.96,1.12,1.03,0.382
7596.98,1.12,1.03,0.383
7607.0,1.12,1.03,0.384
7617.02,1.13,1.03,0.384
7627.05,1.13,1.03,0.385
7637.07,1.13,1.03,0.386
7647.09,1.13,1.04,0.386
7657.11,1.13,1.04,0.387
7667.14,1.13,1.04,0.387
7677.16,1.14,1.04,0.388
7687.18,1.14,1.04,0.389
7697.2,1.14,1.04,0.389
7707.23,1.14,1.04,0.39
7717.25,1.14,1.05,0.39
7727.27,1.14,1.05,0.391
7737.29,1.15,1.05,0.392
7747.32,1.15,1.05,0.392
7757.34,1.15,1.05,0.393
7767.36,1.15,1.05,0.393
7777.38,1.15,1.06,0.394
7787.4,1.15,1.06,0.395
7797.43,1.16,1.06,0.395
7807.45,1.16,1.06,0.396
7817.47,1.16,1.06,0.397
7827.49,1.16,1.06,0.397
7837.52,1.16,1.07,0.398
7847.54,1.16,1.07,0.398
7857.56,1.17,1.07,0.399
7867.58,1.17,1.07,0.4
7877.61,1.17,1.07,0.4
7887.63,1.17,1.07,0.401
7897.65,1.17,1.08,0.401
7907.67,1.17,1.08,0.402
7917.7,1.18,1.08,0.403
7927.72,1.18,1.08,0.403
7937.74,1.18,1.08,0.404
